entity,name,website
http://www.wikidata.org/entity/Q4698669,Airedale NHS Foundation Trust,https://www.airedale-trust.nhs.uk/
http://www.wikidata.org/entity/Q50379735,Alder Hey Children's NHS Foundation Trust,http://www.alderhey.nhs.uk/
http://www.wikidata.org/entity/Q16251963,Ashford and St Peter's Hospitals NHS Foundation Trust,http://www.ashfordstpeters.nhs.uk/
http://www.wikidata.org/entity/Q4829257,Avon and Wiltshire Mental Health Partnership NHS Trust,https://www.awp.nhs.uk/
http://www.wikidata.org/entity/Q4861025,"Barking, Havering and Redbridge University Hospitals NHS Trust",https://www.bhrhospitals.nhs.uk/
http://www.wikidata.org/entity/Q16983721,"Barnet, Enfield and Haringey Mental Health NHS Trust",http://www.beh-mht.nhs.uk/
http://www.wikidata.org/entity/Q16838155,Barnsley Hospital NHS Foundation Trust,http://www.barnsleyhospital.nhs.uk/
http://www.wikidata.org/entity/Q4865798,Barts Health NHS Trust,https://www.bartshealth.nhs.uk/
http://www.wikidata.org/entity/Q89188166,Bedfordshire Hospitals NHS Foundation Trust,https://www.bedfordshirehospitals.nhs.uk/
http://www.wikidata.org/entity/Q4892263,Berkshire Healthcare NHS Foundation Trust,http://www.berkshirehealthcare.nhs.uk/
http://www.wikidata.org/entity/Q16842299,Birmingham Community Healthcare NHS Foundation Trust,http://www.bhamcommunity.nhs.uk/
http://www.wikidata.org/entity/Q30314935,Birmingham Women's and Children's NHS Foundation Trust,https://bwc.nhs.uk/
http://www.wikidata.org/entity/Q16842267,Birmingham and Solihull Mental Health NHS Foundation Trust,http://www.bsmhft.nhs.uk/
http://www.wikidata.org/entity/Q16842671,Black Country Healthcare NHS Foundation Trust,https://www.blackcountryhealthcare.nhs.uk/
http://www.wikidata.org/entity/Q16245411,Blackpool Teaching Hospitals NHS Foundation Trust,https://www.blackpoolteachinghospitals.nhs.uk/
http://www.wikidata.org/entity/Q7373828,Bolton NHS Foundation Trust,http://www.boltonft.nhs.uk/
http://www.wikidata.org/entity/Q16845703,Bradford District Care NHS Foundation Trust,https://www.bdct.nhs.uk/
http://www.wikidata.org/entity/Q16953340,Bradford Teaching Hospitals NHS Foundation Trust,https://www.bradfordhospitals.nhs.uk/
http://www.wikidata.org/entity/Q16846490,Bridgewater Community Healthcare NHS Foundation Trust,http://bridgewater.nhs.uk/
http://www.wikidata.org/entity/Q16985599,Buckinghamshire Healthcare NHS Trust,https://www.buckshealthcare.nhs.uk/
http://www.wikidata.org/entity/Q16954842,Calderdale and Huddersfield NHS Foundation Trust,http://www.cht.nhs.uk
http://www.wikidata.org/entity/Q5025595,Cambridge University Hospitals NHS Foundation Trust,https://www.cuh.nhs.uk/
http://www.wikidata.org/entity/Q19596240,Cambridgeshire Community Services NHS Trust,https://www.cambscommunityservices.nhs.uk/
